Geneid	Chr	Start	End	Strand	Length	SRR11247594	SRR11247595	SRR11247596	SRR11247597	SRR11247598	SRR9592126	SRR9592127	SRR9592128	SRR9592129	SRR9592130	SRR9592131	SRR9592132	SRR9592133	SRR9592134	SRR9592135	SRR9592136	SRR9592137	SRR9592138	SRR9592139	SRR9592140	SRR9592141	SRR9592142	SRR9592143	SRR9592144	SRR9592145	SRR9592146	SRR9592147	SRR9592148	SRR9592149	SRR9592150	SRR9592151	SRR9592152	SRR9592153	SRR9592154	SRR9592155	SRR9592156	SRR9592157	SRR9592158	SRR9592159	SRR9592160	SRR9592161	SRR9592162	SRR9592163	SRR9592164	SRR9592165	SRR9974581	SRR9974582	SRR9974583	SRR9974584	SRR9974585	SRR9974586	SRR9974587	SRR9974588	SRR9974589	SRR9974590
gene:PF3D7_1433800	14	1350313	1358379	-	8067	316	198	211	365	203	402	308	232	227	3598	2729	175	193	783	579	4274	3805	372	212	331	523	4408	3306	484	174	5133	492	235	2538	655	326	3220	213	403	286	298	7902	5886	190	500	604	947	3913	246	748	477	264	2108	317	173	1900	1	189	2590	2651
gene:PF3D7_1433900	14	1360002	1364558	+	4557	49	50	65	126	99	101	78	145	56	667	623	64	70	320	262	1303	1110	113	100	140	124	905	834	177	78	991	168	92	1048	228	80	1252	33	73	65	96	2100	1442	50	90	174	310	876	54	216	153	91	447	115	59	822	1	48	994	606
gene:PF3D7_1434000	14	1364749	1366113	-	1365	991	676	851	1812	735	2066	861	2911	2541	1028	755	1483	1546	2425	1863	1573	1461	1154	1402	2818	3551	1990	1521	1574	1541	2814	1085	3513	2332	1188	3775	2553	415	640	2188	2189	2575	2019	574	1291	2655	4204	1192	1236	1185	1334	2210	1093	685	2726	1776	4	2620	2100	775
gene:PF3D7_1434100	14	1366979	1368202	+	1224	636	400	566	1149	560	1612	567	1266	1476	362	202	992	1039	1865	1363	450	405	765	1155	2052	2006	447	287	1084	1189	715	735	2494	399	762	2689	459	226	452	1249	1354	697	505	368	811	1031	1775	318	953	864	938	1627	314	528	1996	307	2	1916	357	238
gene:PF3D7_1434200	14	1368815	1369796	-	982	1950	1364	1221	2539	1122	4238	2805	2903	3464	17838	13569	2850	3168	4061	2908	13223	11652	2184	4294	3245	4875	14570	14632	2656	1634	15390	3162	4698	11916	3372	5184	13121	2106	3500	3286	3360	35942	25942	1988	4796	4746	8004	16722	2028	2671	2271	2493	6313	2073	3620	8743	4	3420	10637	11121
gene:PF3D7_1434300	14	1372903	1374597	+	1695	4177	2849	4016	7906	4193	10320	4984	12384	16227	3441	2695	6894	7902	14147	10470	4812	4373	5928	10219	14878	25033	6417	7027	8079	8743	11155	6341	25351	8930	6628	26796	9719	2920	4963	15032	15760	9124	6564	4042	9700	16899	27986	4739	8755	8836	7040	12082	4626	4047	19847	6383	12	17636	8125	3217
gene:PF3D7_1434400	14	1375624	1376830	-	1207	1969	1371	325	639	425	935	693	23	25	3948	2049	415	555	27	12	862	754	471	327	58	40	561	925	557	43	441	957	31	203	1136	18	205	1094	1878	33	21	3780	2730	500	1161	24	49	1983	631	1011	481	60	179	644	12	136	1	13	187	1341
gene:PF3D7_1434500	14	1378348	1402665	-	24318	7068	4961	5581	11714	6640	10823	5007	3475	7497	1182	1146	12115	13645	13860	10024	4009	3493	8296	7748	12350	10673	3100	2170	11134	7509	5516	7541	10848	4747	9236	13903	5666	3311	5713	7384	8029	3244	2404	4229	9935	6571	11001	1624	12327	13243	9314	10436	2243	4676	8016	3308	20	9314	4605	1143
gene:PF3D7_1434600	14	1404312	1406198	+	1887	4595	3293	3672	7641	3903	9583	4862	3972	4708	1393	1070	8934	10308	7628	5668	2358	2112	6344	9964	7053	6947	2441	2219	8348	4291	4025	6355	8147	3733	6644	8909	4144	2562	4290	4222	4506	3226	2356	3347	8118	4307	7081	1759	8873	8797	7284	5969	1656	3984	6257	2684	11	5743	3443	1279
gene:PF3D7_1434700	14	1407258	1407746	-	489	130	73	149	251	56	257	136	1462	1571	402	338	67	69	2217	1510	763	614	210	213	2376	2380	997	677	238	1136	1596	264	2983	1028	242	3131	1143	55	102	1545	1568	775	520	97	186	1645	2452	526	89	206	182	1634	605	202	2368	736	1	2103	981	379
gene:PF3D7_1434800	14	1410139	1410897	+	759	159	114	302	580	118	503	407	8843	8193	2027	1797	104	108	6456	4765	3650	3141	596	653	7583	13051	5347	4706	943	3504	8191	537	15354	6629	532	17138	6997	158	291	7331	7626	5904	4539	154	406	10042	16306	3343	201	904	793	4878	3414	313	11951	5062	3	11547	5554	2319
gene:PF3D7_1434900	14	1411737	1413096	+	1360	66	25	29	44	33	37	45	34	6	217	140	11	23	17	9	97	78	31	11	22	12	184	131	24	7	126	58	27	57	74	15	107	17	38	6	5	466	301	41	80	8	7	179	25	83	19	9	62	38	24	47	0	13	83	162
gene:PF3D7_1435000	14	1414023	1415315	+	1293	140	89	67	128	70	164	161	781	206	1554	1031	59	62	207	154	1655	1492	127	139	128	451	2121	1672	206	59	2580	239	336	1969	256	484	2186	114	194	291	265	3369	2417	63	173	739	1244	1620	84	256	203	105	1095	125	265	1445	0	286	1804	1076
gene:PF3D7_1435100	14	1415941	1417020	-	1080	61	56	36	78	45	120	90	521	164	803	692	32	37	141	126	1339	1216	58	55	125	388	1567	1056	156	61	1859	79	276	1170	127	351	1297	33	80	226	195	2418	1707	46	124	609	997	915	37	199	115	93	753	52	207	896	0	225	1055	648
gene:PF3D7_1435200	14	1419383	1420934	+	1552	651	463	233	485	316	373	461	40	30	2762	1840	194	246	45	27	1214	1157	272	209	68	106	1155	1003	318	42	717	827	5	395	1107	13	542	305	527	27	30	2627	1865	477	1212	69	118	2132	377	1001	246	69	299	521	10	287	1	15	470	1398
gene:PF3D7_1435300	14	1421901	1431221	-	9321	3455	2327	826	1695	1496	1918	2045	194	197	7211	6295	1224	1360	387	269	7091	6336	1549	1069	357	413	8396	6980	1988	251	9672	3416	202	4981	3884	327	5731	2388	4178	239	310	11862	8703	2309	5415	571	903	9106	2034	4934	1616	338	3924	2156	185	3624	14	208	4486	6208
gene:PF3D7_1435400	14	1433738	1434310	-	573	854	574	748	1605	643	2162	714	1368	1669	1106	1068	1402	1557	1985	1435	1379	1304	1159	2191	2301	2551	2587	1868	1655	1395	3176	1017	2511	1822	1000	2834	1832	379	710	1466	1525	3163	2474	597	1262	1651	2551	1679	1155	1263	1375	1874	1239	691	1917	1339	2	1831	1550	1110
gene:PF3D7_1435500	14	1436280	1437044	+	765	1032	701	922	1945	750	2504	833	1508	1344	2412	1679	1468	1731	2055	1412	2406	2127	1280	2135	2014	2280	4311	2874	1754	1206	4487	1109	2324	2602	1104	2508	2971	462	793	1260	1446	6919	5084	660	1545	1449	2445	3380	1314	1462	1553	1731	1870	732	1759	1841	1	1687	2453	2172
gene:PF3D7_1435600	14	1437511	1442877	-	5367	4289	2904	960	1884	1858	2350	2277	49	103	11644	7118	1186	1254	145	110	3101	2742	1405	938	269	189	1425	3481	1736	174	1053	3445	32	867	4651	27	1128	3519	5816	76	75	14076	10387	1797	4100	90	164	9037	2438	4323	1463	254	488	2297	20	657	5	15	899	6043
gene:PF3D7_1435700.2	14	1445085	1449491	-	4407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_1435700.1	14	1445085	1449491	-	4407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_1435800	14	1452604	1454118	+	1515	21	17	67	119	20	61	65	296	180	153	147	20	14	226	169	252	188	96	98	144	281	358	281	161	80	496	86	285	423	109	349	498	16	32	169	159	345	265	33	88	309	543	280	29	160	124	105	198	41	198	338	0	245	408	207
gene:PF3D7_1435900	14	1454555	1455496	-	942	27	10	35	74	11	92	33	195	68	268	249	19	15	132	89	469	362	52	80	115	122	372	342	70	54	475	45	129	336	50	149	408	26	33	57	74	769	546	12	55	187	310	281	26	89	60	92	200	22	70	251	0	89	365	173
gene:PF3D7_1436000	14	1458131	1459870	+	1740	1847	1271	1915	3809	1623	5642	1462	9766	14835	2143	1590	1416	1514	30322	21784	3088	2737	3445	4609	19025	17503	4599	3991	4498	11485	7990	2215	22358	6458	2448	24829	6955	894	1587	12691	13370	5788	4197	2040	4508	10780	17475	2839	3688	3335	3953	15929	3333	1405	16878	4767	6	16669	5689	1954
gene:PF3D7_1436100	14	1461388	1467590	+	6203	1107	767	1163	2376	1559	2781	1155	1020	1230	2076	1741	1642	1739	2142	1521	3728	3209	1645	1487	1717	1972	2516	2509	2970	1409	3615	1770	1869	3085	2269	2170	3685	545	1020	1018	1221	6341	4922	918	2263	1532	2539	2822	2253	2880	2519	1841	1445	1087	1374	2207	3	1434	2958	1958
gene:PF3D7_1436200	14	1467629	1474438	-	6810	3492	2413	704	1459	1882	2463	2103	164	170	22200	11497	1314	1431	241	189	6613	5578	1427	934	294	257	3669	6337	1946	213	2636	3046	96	493	3955	100	712	3386	5666	142	124	23288	17516	2033	4769	259	385	14384	2089	4626	1673	309	1099	1915	85	384	15	82	551	9751
gene:PF3D7_1436300	14	1479777	1482758	+	2982	39869	27074	22351	44584	20456	55472	31633	4143	14789	2189	2146	32614	37096	47909	33958	2185	1902	38141	49635	25204	19648	1749	2442	46656	16880	2740	37814	17195	1385	37691	20679	1761	42611	71628	12235	12934	4291	3086	24047	58097	5947	10171	4226	56130	53729	39393	24286	1182	23362	13336	1014	65	13682	1432	2923
gene:PF3D7_1436400	14	1484166	1488129	+	3964	44	49	60	147	42	162	60	363	261	82	98	171	159	445	305	209	223	133	192	440	355	217	176	161	239	384	177	553	323	200	676	367	33	65	244	266	278	217	66	138	360	513	178	83	139	155	318	145	126	461	237	1	477	261	106
gene:PF3D7_1436500	14	1488706	1490001	+	1296	123	68	109	232	44	188	129	603	324	962	699	114	118	396	296	1777	1618	169	199	443	497	1652	1088	254	240	1855	233	687	1000	269	817	1156	80	144	305	354	2523	1815	89	183	625	953	981	115	262	240	350	783	138	486	696	0	570	906	677
gene:PF3D7_1436600	14	1490654	1494214	-	3561	3956	2874	913	1677	1130	2133	2118	105	139	12353	6865	1193	1366	98	60	5102	4326	1355	836	269	181	4725	4847	1752	188	4405	2274	49	2305	2683	58	2927	3012	5111	137	133	13244	9407	1428	3415	181	365	7908	1700	2767	1509	269	1866	1463	37	1718	9	33	2420	5416
gene:PF3D7_1436700	14	1495799	1498533	-	2735	49	19	50	123	35	63	51	593	193	620	488	73	73	262	171	1563	1291	115	136	307	322	1827	1226	191	147	2146	137	592	1527	142	741	1599	35	47	194	210	1966	1469	34	89	502	800	1169	67	188	181	195	796	56	502	1053	1	529	1403	815
gene:PF3D7_1436800	14	1498758	1499492	-	735	17	12	21	63	14	30	27	247	96	282	210	11	25	87	49	470	437	65	74	146	151	874	549	73	56	898	37	250	672	73	311	697	16	22	103	101	894	602	30	57	227	402	522	27	74	88	73	398	25	203	466	0	215	596	345
gene:PF3D7_1436900	14	1500128	1500965	-	838	354	248	260	512	157	755	272	514	298	262	256	330	356	640	515	382	327	521	1221	475	359	528	402	554	299	579	430	338	438	428	365	461	110	155	251	245	888	662	210	401	413	726	407	512	594	462	440	206	313	227	311	1	228	369	300
gene:PF3D7_1437000	14	1502648	1504861	+	2214	3610	2471	2683	5390	2210	6886	3094	2687	2391	5823	3989	3845	4276	6439	4753	5755	4984	4391	7993	3582	2925	7093	4412	5149	2596	7035	4332	3358	4156	5083	3629	4559	1468	2407	2062	2193	11190	8211	1969	4528	2238	3628	5709	5748	5425	4599	3528	2974	2716	2491	2885	12	2561	3685	3870
gene:PF3D7_1437100	14	1505906	1506619	+	714	43	25	41	106	22	85	54	89	23	471	438	20	19	123	84	591	519	71	105	41	60	1010	546	115	21	1025	86	28	594	78	35	631	23	53	38	23	1365	1012	44	100	105	153	622	56	151	115	41	390	57	27	406	0	23	512	414
gene:PF3D7_1437200	14	1507359	1510089	-	2731	2089	1358	968	1917	792	1718	1269	2648	1486	13468	9116	952	1020	2995	2139	16723	14792	1759	1254	2702	2852	20232	12672	2196	1486	21573	2243	2443	11982	2338	3153	13686	1207	2010	1780	1863	23654	17243	1178	2816	3364	5538	14946	1125	2487	1866	2157	8941	1375	1829	9009	7	2044	10894	9704
gene:PF3D7_1437300	14	1513938	1514961	-	1024	683	455	159	306	314	586	471	117	66	7410	3872	318	335	49	40	2442	2008	331	244	91	53	1736	2394	469	74	1326	634	61	417	874	54	589	674	1165	58	63	8277	6131	467	999	73	93	4879	388	812	404	101	555	419	47	344	1	35	490	3264
gene:PF3D7_1437400	14	1517070	1519370	+	2301	247	167	147	292	143	492	222	1867	1432	1607	1341	310	365	1007	687	2110	1846	234	270	1222	2065	3506	2673	306	571	4228	413	2384	2988	438	2764	3189	111	214	1406	1423	4537	3407	208	466	2086	3552	2112	233	359	220	868	1836	253	1920	2292	0	1855	2626	1493
gene:PF3D7_1437500	14	1521105	1521920	+	816	999	649	567	1207	533	1602	579	453	291	3289	1968	1339	1518	439	314	2759	2312	915	1226	567	384	2607	1564	1296	368	2847	837	505	1661	904	636	2084	400	648	307	301	5194	3762	384	910	411	650	2408	1128	1194	1136	482	1133	499	435	1147	1	397	1652	1568
gene:PF3D7_1437600	14	1523286	1525046	+	1761	14	9	13	40	9	26	24	340	100	117	71	12	12	57	41	214	187	28	30	65	135	139	167	34	29	276	40	213	285	42	231	366	9	13	74	77	376	276	3	12	210	380	140	13	32	25	46	131	30	161	217	0	153	275	107
gene:PF3D7_1437700	14	1525564	1528485	-	2922	158	89	192	452	158	282	227	180	108	2355	1686	127	132	522	423	2424	2213	466	361	287	325	3110	2569	685	186	3462	387	53	1976	427	79	2433	147	240	124	138	4635	3514	154	368	432	670	2655	231	739	581	284	1403	248	54	1543	2	62	1927	1691
gene:PF3D7_1437800	14	1530276	1530830	-	555	673	439	601	1218	237	1216	510	510	343	430	389	720	813	647	448	544	489	1311	2311	967	436	1251	532	1269	557	1257	794	782	756	842	940	774	160	295	290	285	1183	917	418	899	361	622	525	1302	1311	1174	839	564	511	619	549	4	633	647	343
gene:PF3D7_1437900	14	1533329	1534947	+	1619	7485	5259	6431	12656	7669	15051	8855	10925	16064	3938	3227	13641	15189	12925	9285	6966	6125	10577	18978	15382	23363	7260	8562	14346	8509	12991	10466	21107	8967	10203	25979	9170	4853	8212	14589	15101	10737	7840	5929	14482	15705	26331	5962	15237	15228	12289	12046	5548	6673	16914	6377	27	17442	7481	4000
gene:PF3D7_1438000	14	1536484	1538469	-	1986	7185	4861	6136	12990	7150	16737	6469	6634	6944	5077	3593	12349	13628	11428	7959	5521	4746	10871	17806	9934	10533	6994	5879	14456	6266	9823	10020	10377	6200	10797	11345	6749	3876	6527	6305	6890	10131	7393	5445	12442	6922	11187	5265	14314	14654	12313	9168	4132	6559	7952	4646	21	7678	5755	3619
gene:PF3D7_1438100	14	1541359	1542872	-	1514	1833	1252	1355	2869	1645	3592	1736	795	1523	7779	6045	2079	2151	2589	1803	7040	6098	2133	3286	1511	2363	9812	7499	3172	1185	9254	2192	1501	5877	2347	1745	6322	1387	2233	1267	1364	17194	12344	1504	3744	1964	3193	9389	2730	3012	2870	1754	3726	1376	1082	4280	3	1112	5231	6542
gene:PF3D7_1438400	14	1548918	1556721	+	7804	2620	1775	833	1725	1177	2300	1343	2033	2763	11635	6252	943	1049	6642	4561	4737	4217	1571	1255	7224	4094	3834	4650	2021	3962	4632	2255	6348	2324	2789	7395	2805	1867	3143	3092	3256	14941	11251	1320	2995	2829	4438	8896	1641	3430	1718	5498	1917	1460	4780	1644	6	4898	2192	6139
gene:PF3D7_1438500	14	1557527	1560157	-	2631	1356	942	1040	2249	1314	2988	1383	1664	1852	792	620	2869	3133	2594	1894	1265	1060	2009	3970	2211	2316	1651	1204	2575	1314	2414	2135	2715	1979	2160	3310	2218	700	1160	1512	1650	1996	1362	1049	2460	1804	2936	1072	2564	2594	2176	1891	889	1351	2133	1448	10	2247	1822	729
gene:PF3D7_1438600	14	1562232	1563065	+	834	920	658	739	1508	613	1223	554	578	499	581	389	1793	1959	857	632	1034	906	1087	1637	792	811	1222	899	1539	499	1458	840	681	1022	848	792	1189	267	450	459	464	1702	1188	420	944	578	965	760	1310	1302	1369	723	608	545	501	821	3	551	882	567
gene:PF3D7_1438700	14	1564575	1567839	+	3265	204	130	212	465	126	400	336	1208	396	2859	2596	106	109	489	398	4661	4057	419	468	379	851	5370	3941	597	214	6579	403	749	4406	466	837	4984	211	363	476	485	8460	6119	203	418	1440	2340	3468	229	625	517	305	2732	245	611	3449	2	534	4056	2238
gene:PF3D7_1438800	14	1571039	1574161	+	3123	165	130	379	776	45	170	144	29	79	718	280	126	155	85	82	152	111	113	142	105	142	176	168	118	74	118	1940	18	33	1760	12	51	121	201	14	10	718	527	163	364	38	53	573	149	362	94	111	65	1198	14	33	7	12	37	348
gene:PF3D7_1438900	14	1575984	1576571	+	588	5434	3753	4795	9619	3748	14599	6781	8117	7729	4350	3070	10780	11976	8636	6517	6715	6041	7986	16090	8522	12248	9626	7808	10717	5436	14614	7635	10713	8979	6927	12143	9491	3094	5388	6638	6896	12147	8851	3906	8823	9622	15361	5688	7947	6891	9020	7706	6048	4729	8136	6870	9	8143	7472	3655
gene:PF3D7_1439000	14	1578193	1579175	+	983	477	362	188	373	194	572	395	553	157	8452	5071	457	443	112	119	5518	4796	489	515	178	280	8659	5195	543	112	7241	602	297	4309	815	358	4915	492	807	182	189	16168	12085	229	585	434	722	7875	473	744	432	179	2801	385	239	3072	2	239	4039	5419
gene:PF3D7_1439100	14	1580750	1588857	+	8108	727	528	734	1379	742	2037	711	708	1056	713	583	2491	2776	1645	1191	1357	1164	1602	1667	1728	1159	2277	1420	2035	1117	3031	1334	1585	1569	1469	2203	1969	415	701	1103	1223	1874	1354	531	1192	1305	1978	996	1659	1492	1761	1540	1262	854	1211	1152	4	1437	1488	733
gene:PF3D7_1439200	14	1588952	1593131	+	4180	657	470	551	1079	363	858	348	380	472	272	287	1085	1212	878	590	713	679	607	636	706	955	832	516	804	435	1097	515	597	715	574	793	741	161	254	466	517	971	641	246	516	564	877	463	663	760	682	625	457	363	450	511	1	561	615	320
gene:PF3D7_1439300	14	1594505	1600061	+	5557	2570	1733	1725	3417	2441	4374	2257	1244	1764	4389	3977	4909	5311	4415	3045	7229	6270	2522	3210	2434	2952	6202	4559	4130	1877	6942	3828	2841	4688	4666	3264	5474	1531	2605	1541	1746	11173	8286	1353	3391	2148	3505	5648	3830	4766	3533	2692	2848	2423	2199	3347	9	2291	4461	3770
gene:PF3D7_1439400	14	1600933	1602000	-	1068	558	354	376	745	277	687	699	283	173	5265	3942	321	303	364	259	5348	4472	693	657	319	424	5735	5235	914	214	5758	875	155	3832	882	255	4389	607	1007	228	220	12089	8532	488	1181	565	962	5913	439	1209	733	296	2414	599	111	3097	1	155	3626	3863
gene:PF3D7_1439500	14	1608519	1611743	+	3225	5531	3889	2037	4139	1812	3686	1424	76	88	3090	1982	4388	4930	252	161	3071	2810	1874	1173	190	160	1912	1431	2757	151	2064	2182	29	1140	2747	27	1404	1687	2899	105	82	4463	3197	1024	2411	138	204	2391	2642	3595	2322	202	873	1401	22	818	6	19	1055	1587
gene:PF3D7_1439600	14	1612521	1613063	-	543	331	229	217	462	157	370	304	443	212	3718	1933	138	172	526	377	2619	2305	423	377	275	505	3303	2903	554	167	3548	481	258	2340	579	316	2617	313	546	212	233	6549	4942	258	564	678	1104	3003	218	611	453	186	1412	313	177	1647	1	204	2078	1941
gene:PF3D7_1439700	14	1613853	1615542	-	1690	170	126	230	437	110	383	222	839	446	2036	1861	104	77	493	320	2651	2261	389	403	405	1026	4814	3470	651	259	5529	300	704	3360	347	803	3601	165	224	539	558	6339	4753	146	323	1361	2335	2808	197	570	523	350	2421	145	563	2506	1	584	2910	1954
gene:PF3D7_1439800	14	1618819	1619794	+	976	1605	1057	1266	2657	1082	3967	1524	3391	4064	7986	5916	1373	1744	5710	4178	9004	7745	1985	2239	4529	5945	10255	8683	2706	2797	11999	2035	6169	9013	2525	6767	10170	1058	1773	3804	3904	19491	14259	1525	3694	4688	7753	8616	1974	2507	2380	4323	4964	1352	4530	6511	4	4454	8290	5730
gene:PF3D7_1439900	14	1622576	1623612	+	1037	5920	3898	4826	9848	5157	16026	6643	19557	17913	9647	6851	12955	14343	17168	12314	12352	11022	8493	14135	16454	27009	17136	17408	10366	9439	25603	8522	23536	15067	8319	27677	15885	3417	6057	15601	16434	24366	17581	4470	10155	23075	37597	11244	9664	8486	8716	13361	10443	5230	18219	11138	12	18399	12818	7650
gene:PF3D7_1440000	14	1624187	1631367	-	7181	359	262	192	435	231	481	328	654	101	5338	3654	210	235	195	154	6875	5957	388	223	226	268	6855	3939	540	125	7306	597	191	3896	788	297	4713	289	440	135	154	11169	8232	218	472	494	804	5591	270	739	464	175	2898	391	165	2847	4	182	3795	3736
gene:PF3D7_1440100	14	1633211	1636255	-	3045	1034	701	357	673	758	1151	1156	1198	639	15794	11339	503	570	392	246	10575	9509	791	555	493	1041	14238	12058	1144	285	14342	1518	986	8242	2090	1289	9465	1209	2070	688	756	28536	20931	926	2196	1862	3226	14696	888	1911	976	405	5765	984	701	5951	7	775	7507	9748
gene:PF3D7_1440300	14	1639477	1641760	+	2284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:PF3D7_1440200	14	1639477	1647167	+	7691	130	95	125	210	61	238	134	1488	777	935	754	94	103	1700	1199	3180	2933	159	107	1323	1157	2619	1257	281	638	3297	428	1812	1874	440	2201	2267	72	102	723	852	2441	1715	166	394	1080	1836	1235	74	294	258	895	1449	263	1316	1278	0	1456	1844	818
gene:PF3D7_1440400	14	1647673	1651694	-	4022	402	259	84	214	223	412	415	27	39	6547	3909	179	184	18	10	2967	2571	232	188	43	26	3488	3031	338	40	2757	571	14	1233	746	10	1534	475	825	22	23	9233	6698	297	695	39	38	5326	292	652	276	52	1066	332	10	856	3	6	1158	3729
gene:PF3D7_1440500	14	1654047	1655708	+	1662	92	93	185	364	87	334	117	549	1365	555	447	43	60	1536	1082	564	506	259	290	1198	2108	646	531	405	830	789	324	1854	432	295	2052	479	68	163	1156	1133	885	651	273	630	1000	1635	632	167	387	325	1174	332	214	1361	275	2	1299	369	464
gene:PF3D7_1440600	14	1656434	1659740	+	3307	20	12	83	161	15	113	41	112	42	158	177	76	75	179	120	229	209	96	115	135	118	240	187	109	70	262	62	111	285	87	104	353	28	35	18	30	583	436	43	97	81	162	252	26	123	95	96	96	51	82	216	0	72	295	136
gene:PF3D7_1440700	14	1660095	1662296	-	2202	214	130	132	242	157	513	232	2090	2050	2724	2785	137	135	2715	1917	4192	3858	197	206	3384	2560	4484	2847	290	2008	5168	440	4828	3503	625	5592	3758	195	296	1898	2128	7892	5816	132	332	1512	2705	3395	190	434	239	2839	2137	266	3827	2632	2	3722	2956	2245
gene:PF3D7_1440800	14	1665463	1667543	+	2081	183	122	115	244	74	225	143	1585	1214	1385	1013	50	87	3028	2156	1969	1643	151	123	2161	1611	1979	954	243	1154	2631	303	2853	1642	331	3247	1926	79	155	1115	1304	3635	2672	113	246	1064	1621	1462	98	310	164	1620	1035	201	2215	1156	1	2250	1526	1046
gene:PF3D7_1440900	14	1668591	1669963	+	1373	238	165	63	113	112	171	191	67	15	1503	912	82	95	28	27	391	328	93	116	56	15	394	389	116	12	173	306	36	42	295	54	41	198	403	15	13	1701	1295	152	332	20	24	984	157	319	108	26	58	156	33	35	1	40	41	638
gene:PF3D7_1441000	14	1669980	1671650	-	1671	488	359	456	922	537	1278	502	460	582	345	271	1166	1216	1544	1115	366	283	790	1269	1087	662	396	289	987	566	595	830	1008	326	918	1088	459	232	336	436	476	705	490	276	755	444	746	419	1019	1068	854	890	233	499	713	284	1	685	345	253
gene:PF3D7_1441100	14	1673386	1674069	-	684	20332	13677	16024	31986	18139	27123	26326	9593	14384	10792	11294	35652	42981	12217	9330	14878	13759	19865	43939	13218	19549	14858	14840	26763	7957	19747	26560	17959	16269	27187	22683	17861	16912	29082	10702	10586	24528	17211	19100	48406	15416	27564	14411	37807	39431	24222	12167	8972	17980	14524	12762	20	15803	15172	9973
gene:PF3D7_1441200	14	1678662	1679486	+	825	4189	2844	3803	7842	3991	14190	4153	7959	13895	4253	2605	7007	7776	12553	8908	5359	4759	5883	10550	14371	19287	5678	6632	7322	9050	9291	5457	17760	9009	5660	18884	9459	3102	5425	11785	12627	13616	9711	3990	9140	11614	19067	4916	6546	5856	6117	12721	3842	3660	13744	6656	25	12335	7605	3287
gene:PF3D7_1441300	14	1681791	1689157	+	7367	1147	752	267	621	607	1154	934	466	99	8405	6412	411	516	114	89	6804	6041	786	1256	476	74	4116	3659	665	178	3530	1357	219	1957	1691	256	2823	871	1507	79	79	17359	12701	461	1031	83	143	5121	801	1688	616	269	1459	858	183	1437	3	158	2193	3344
gene:PF3D7_1441400	14	1690993	1692513	+	1521	595	512	634	1137	444	2026	768	2696	3871	3268	2550	1483	1624	3768	2602	4291	3729	1018	1458	3715	5190	5560	5045	1276	2235	8357	947	5942	5739	1048	6736	5995	463	748	3499	3637	8146	6028	545	1202	4639	7502	3825	767	954	1128	3069	3351	601	4642	4063	1	4576	4998	2487
gene:PF3D7_1441500	14	1693137	1695192	-	2056	432	281	425	826	329	1141	430	997	735	2996	2081	491	558	1188	797	3182	2699	729	962	1047	1242	4319	3013	928	679	4460	713	1120	2865	720	1291	3401	265	469	744	659	6775	4886	363	872	1120	1853	3368	610	789	817	934	1776	473	858	2101	0	805	2623	2204
gene:PF3D7_1441600	14	1696304	1698013	-	1710	289	195	157	285	90	351	125	346	289	1893	976	114	137	774	568	1341	1107	250	205	635	391	1184	704	339	386	1397	214	612	573	273	646	654	140	223	291	310	2038	1411	122	261	298	451	1257	174	354	261	470	545	155	472	414	2	446	559	864
gene:PF3D7_1441700	14	1700674	1702050	+	1377	24	28	30	63	11	43	47	234	94	191	209	28	28	120	73	487	469	38	33	117	129	456	254	75	42	605	47	266	398	63	327	443	6	25	66	85	646	521	25	62	182	321	275	24	97	46	81	245	33	173	301	0	214	372	217
gene:PF3D7_1441800	14	1702609	1703809	-	1201	167	86	142	280	81	321	176	506	456	1286	869	317	324	611	432	2148	1925	186	207	474	703	1292	1014	260	267	1409	209	729	964	255	738	1120	96	187	411	398	2581	1967	134	274	634	1011	1167	153	322	185	363	626	154	564	677	2	538	858	774
gene:PF3D7_1441900	14	1704594	1704797	+	204	229	143	198	392	121	592	204	235	357	312	230	408	472	411	325	358	291	301	552	375	372	471	307	434	290	577	284	501	414	310	506	483	134	194	286	295	846	644	155	361	335	480	354	319	311	357	402	210	180	376	312	2	367	392	268
gene:PF3D7_1442000	14	1705126	1705783	-	658	38	17	92	152	19	144	53	821	573	165	155	132	130	535	401	235	216	125	188	667	753	443	237	167	318	585	116	1016	487	115	964	520	27	39	391	433	387	317	48	85	556	853	233	81	166	129	493	240	62	803	355	0	680	436	145
gene:PF3D7_1442100	14	1706520	1707512	-	993	138	86	111	208	54	214	155	1532	907	2151	1611	48	51	1099	716	2416	1982	168	147	909	1285	3041	2248	279	443	3663	172	1745	2973	216	1810	3498	124	183	902	941	5155	3652	79	214	1354	2222	2041	95	246	223	646	1594	125	1239	2181	0	1111	2893	1359
